macaddress;datetime;cpu;ram;disco;uptime;bytes_enviados;bytes_recebidos;pacotes_perdidos
80160640191877;2025-11-19 13:13:23.217634;67.6;78.8;26.6;244676.21787;4153.454106330872;5341.85317325592;4868
80160640191877;2025-11-19 13:14:23.267820;8.5;78.6;26.6;244736.268699;4153.879465103149;5342.4979429244995;4870
80160640191877;2025-11-19 13:15:23.307135;7.7;78.9;26.6;244796.308029;4154.397850990295;5344.003685951233;4875
80160640191877;2025-11-19 13:16:23.348004;7.1;79.4;26.6;244856.348768;4154.828851699829;5344.8987865448;4879
80160640191877;2025-11-19 13:17:23.391251;6.7;78.9;26.6;244916.391736;4155.487924575806;5345.597464561462;4881
80160640191877;2025-11-19 13:18:23.422593;8.2;79.4;26.6;244976.42339;4155.960157394409;5346.31019115448;4894
80160640191877;2025-11-19 13:19:23.463594;9.9;78.7;26.6;245036.464036;4156.816703796387;5351.213262557983;4904
80160640191877;2025-11-19 13:20:23.496737;8.9;78.1;26.6;245096.497543;4157.167837142944;5351.917552947998;4913
80160640191877;2025-11-19 13:21:23.536311;15.0;79.8;26.6;245156.536664;4157.85998249054;5353.017360687256;4919
80160640191877;2025-11-19 13:22:23.594419;5.3;77.3;26.6;245216.595343;4158.451406478882;5354.155476570129;4921
80160640191877;2025-11-19 13:23:23.634736;10.3;77.6;26.6;245276.635619;4158.97970199585;5354.854091644287;4925
80160640191877;2025-11-19 13:24:23.675333;10.9;79.1;26.6;245336.676119;4159.332938194275;5355.6924867630005;4929
80160640191877;2025-11-19 13:29:36.714833;12.8;78.7;26.6;245649.715614;4160.155680656433;5356.674077033997;4971
80160640191877;2025-11-19 13:30:36.762726;5.5;78.2;26.6;245709.763508;4161.062553405762;5357.391237258911;4971
80160640191877;2025-11-19 13:31:36.805470;7.2;79.5;26.6;245769.806537;4161.446269989014;5357.779635429382;4971
80160640191877;2025-11-19 13:32:36.845649;11.7;80.6;26.6;245829.846565;4162.336653709412;5363.189526557922;4971
80160640191877;2025-11-19 13:33:36.884445;7.1;79.3;26.6;245889.885384;4162.747499465942;5363.595664024353;4971
80160640191877;2025-11-19 13:34:36.918932;5.6;78.9;26.6;245949.919841;4163.1772565841675;5363.954082489014;4971
80160640191877;2025-11-19 13:35:36.957304;4.9;79.2;26.6;246009.958246;4163.596081733704;5364.396262168884;4971
80160640191877;2025-11-19 13:36:36.994475;8.0;79.7;26.6;246069.995279;4164.137665748596;5364.773283958435;4971
80160640191877;2025-11-19 13:37:37.034777;8.5;79.1;26.6;246130.035724;4164.527981758118;5365.160349845886;4971
80160640191877;2025-11-19 13:38:37.075253;9.0;79.4;26.6;246190.076221;4165.407056808472;5371.12700843811;4971
80160640191877;2025-11-19 13:39:37.107245;8.2;79.1;26.6;246250.108355;4165.942892074585;5372.109574317932;4971
80160640191877;2025-11-19 13:40:37.157970;6.0;79.0;26.6;246310.15872;4166.460965156555;5374.388215065002;4971
80160640191877;2025-11-19 13:41:37.198186;7.6;77.7;26.6;246370.199039;4166.841370582581;5374.734654426575;4971
80160640191877;2025-11-19 13:42:37.230740;6.8;78.2;26.6;246430.231293;4167.386276245117;5375.11909198761;4971
80160640191877;2025-11-19 13:43:37.276819;4.3;78.0;26.6;246490.277863;4167.713349342346;5375.452738761902;4971
80160640191877;2025-11-19 13:44:37.316258;5.8;78.0;26.6;246550.317132;4168.228567123413;5375.805911064148;4971
80160640191877;2025-11-19 13:45:37.354949;7.0;78.4;26.6;246610.355803;4168.603828430176;5376.246103286743;4971
80160640191877;2025-11-19 13:46:37.393261;5.7;78.2;26.6;246670.394303;4169.067856788635;5376.624698638916;4971
80160640191877;2025-11-19 13:47:37.431554;4.6;77.9;26.6;246730.431925;4169.554202079773;5376.9872789382935;4971
80160640191877;2025-11-19 13:48:37.461563;3.8;78.2;26.6;246790.462462;4170.04025554657;5377.320013046265;4971
80160640191877;2025-11-19 13:49:37.492771;3.1;78.1;26.6;246850.493621;4170.490155220032;5377.698103904724;4971
80160640191877;2025-11-19 13:50:37.533462;4.5;78.5;26.6;246910.53427;4170.985571861267;5378.102824211121;4971
80160640191877;2025-11-19 13:51:37.573552;7.6;78.4;26.6;246970.574491;4173.763457298279;5381.112727165222;4971
80160640191877;2025-11-19 13:52:37.614377;5.5;78.4;26.6;247030.614808;4174.172612190247;5381.446210861206;4971
80160640191877;2025-11-19 13:53:37.643813;6.7;76.1;26.6;247090.644151;4174.590010643005;5381.810755729675;4971
80160640191877;2025-11-19 13:54:37.671804;2.7;75.9;26.6;247150.672764;4175.073281288147;5382.133460044861;4971
80160640191877;2025-11-19 13:55:37.710124;3.1;76.4;26.6;247210.711069;4175.409069061279;5382.532324790955;4971
80160640191877;2025-11-19 13:56:37.742493;2.9;75.8;26.6;247270.743027;4175.895108222961;5382.856310844421;4971
80160640191877;2025-11-19 13:57:37.772233;2.5;75.5;26.6;247330.773132;4176.214283943176;5383.16627407074;4971
80160640191877;2025-11-19 13:58:37.803322;2.6;75.3;26.6;247390.804196;4176.634014129639;5383.514730453491;4971
80160640191877;2025-11-19 13:59:37.839614;2.9;75.2;26.6;247450.840496;4176.95276260376;5383.828622817993;4971
80160640191877;2025-11-19 14:00:37.870726;2.7;76.0;26.6;247510.871637;4177.458379745483;5384.23647403717;4971
80160640191877;2025-11-19 14:01:37.903703;6.2;76.0;26.6;247570.904934;4177.894256591797;5384.644249916077;4971
80160640191877;2025-11-19 14:02:37.945549;10.3;75.7;26.6;247630.946452;4178.462019920349;5385.034393310547;4971
80160640191877;2025-11-19 14:03:38.683651;2.7;75.9;26.6;247690.684773;4178.929132461548;5385.428935050964;4973
80160640191877;2025-11-19 14:04:38.720869;3.2;75.9;26.6;247750.721743;4179.375887870789;5386.693903923035;4973
80160640191877;2025-11-19 14:05:38.751616;6.1;76.5;26.6;247810.752481;4179.738033294678;5387.1084451675415;4973
80160640191877;2025-11-19 14:06:38.790739;8.5;78.0;26.6;247870.791792;4180.306365013123;5389.21489238739;4973
80160640191877;2025-11-19 14:07:38.828793;10.2;76.8;26.6;247930.829717;4207.709411621094;5416.6152238845825;4973
80160640191877;2025-11-19 14:08:38.857768;10.4;76.8;26.6;247990.858141;4259.245708465576;5467.996162414551;4973
80160640191877;2025-11-19 14:09:38.886039;13.4;76.9;26.6;248050.886899;4314.655932426453;5523.399951934814;4973
80160640191877;2025-11-19 14:10:38.925952;10.0;77.7;26.6;248110.926475;4328.429631233215;5537.21412563324;4973
80160640191877;2025-11-19 14:11:39.024103;10.1;76.3;26.6;248171.02536;4329.214873313904;5542.217686653137;4973
80160640191877;2025-11-19 14:12:39.066861;12.7;76.7;26.6;248231.067299;4329.817413330078;5543.050380706787;4973
80160640191877;2025-11-19 14:13:39.101639;10.2;76.1;26.6;248291.102219;4330.220350265503;5543.7981786727905;4973
80160640191877;2025-11-19 14:14:39.140156;3.9;76.3;26.6;248351.141044;4330.715489387512;5544.150149345398;4973
80160640191877;2025-11-19 14:15:39.170256;10.1;77.5;26.6;248411.171132;4331.161473274231;5544.677720069885;4973
80160640191877;2025-11-19 14:16:39.203410;6.6;76.2;26.6;248471.20428;4334.059181213379;5547.5110692977905;4973
80160640191877;2025-11-19 14:17:39.239411;2.6;76.0;26.6;248531.240336;4334.564754486084;5547.889868736267;4973
80160640191877;2025-11-19 14:18:39.279549;2.6;76.1;26.6;248591.279899;4335.050707817078;5548.213084220886;4973
80160640191877;2025-11-19 14:19:39.307175;2.8;76.1;26.6;248651.307611;4335.459209442139;5549.467090606689;4973
80160640191877;2025-11-19 14:20:39.336100;2.8;76.8;26.6;248711.336966;4335.972633361816;5549.908429145813;4973
80160640191877;2025-11-19 14:21:39.369261;4.0;76.5;26.6;248771.369681;4336.301200866699;5550.236200332642;4973
80160640191877;2025-11-19 14:22:39.408585;5.6;75.8;26.6;248831.408951;4336.706106185913;5550.586465835571;4973
80160640191877;2025-11-19 14:23:39.448407;8.1;76.2;26.6;248891.449326;4352.863953590393;5566.750356674194;4973
80160640191877;2025-11-19 14:24:39.490368;4.1;76.5;26.6;248951.491155;4353.3367528915405;5567.057147026062;4973
80160640191877;2025-11-19 14:25:39.531201;10.3;77.4;26.6;249011.53204;4356.768632888794;5570.547904968262;4973
